,four,one,three,two
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2038979-Reviews-Paris_Charms_Secrets_Tours-Paris_Ile_de_France.html,Paris Charms & Secrets Tours,Visites de la ville,3261
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d3405921-Reviews-Paris_by_Martin_Friends-Paris_Ile_de_France.html,Paris by Martin & Friends,"Visites nocturnes, Visites pÃ©destres",1180
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12442407-Reviews-Boutique_Bike_Tours-Paris_Ile_de_France.html,Boutique Bike Tours,Excursions Ã  vÃ©lo,193
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7289755-Reviews-Like_a_Local_in_Paris-Paris_Ile_de_France.html,Like a Local in Paris,Visites nocturnes,544
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d652724-Reviews-Bike_About_Tours-Paris_Ile_de_France.html,Bike About Tours,Excursions Ã  vÃ©lo,2819
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2626587-Reviews-Blue_Fox_Travel_Blue_Bike_Tours-Paris_Ile_de_France.html,Blue Fox Travel - Blue Bike Tours,Visites de la ville,3399
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d3137427-Reviews-StrollsParis-Paris_Ile_de_France.html,StrollsParis,Excursions Ã  vÃ©lo,116
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12982233-Reviews-City_Insiders_Paris-Paris_Ile_de_France.html,City Insiders Paris,Visites de la ville,78
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d1815347-Reviews-Paris_Running_Tours-Paris_Ile_de_France.html,Paris Running Tours,Visites et footing,170
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2146080-Reviews-Paris_by_Scooter-Paris_Ile_de_France.html,Paris by Scooter,Locations de matÃ©riel,259
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10216117-Reviews-TukTuk_Ride_Paris-Paris_Ile_de_France.html,TukTuk Ride Paris,"Visites de la ville, Visites privÃ©es",119
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d3666966-Reviews-Green_River_Cruises-Paris_Ile_de_France.html,Green River Cruises,CroisiÃ¨res,238
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12255373-Reviews-Insolites_Collection-Paris_Ile_de_France.html,Insolites Collection,Locations de matÃ©riel,103
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d577423-Reviews-Fat_Tire_Tours_Paris-Paris_Ile_de_France.html,Fat Tire Tours--Paris,Excursions Ã  vÃ©lo,5875
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4096567-Reviews-Driveme-Paris_Ile_de_France.html,Driveme,Locations de matÃ©riel,136
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d1412437-Reviews-Paris_Bike_Tour-Paris_Ile_de_France.html,Paris Bike Tour,"Excursions Ã  vÃ©lo, Visites guidÃ©es",199
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10127325-Reviews-RunRun_Tours-Paris_Ile_de_France.html,RunRun Tours,"Visites guidÃ©es, Visites et footing",63
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4508262-Reviews-Paris_by_Bike-Paris_Ile_de_France.html,Paris by Bike,Excursions Ã  vÃ©lo,276
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7258655-Reviews-Un_Bateau_a_Paris-Paris_Ile_de_France.html,Un Bateau Ã  Paris,CroisiÃ¨res,68
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d189291-Reviews-Jardin_des_Plantes-Paris_Ile_de_France.html,Jardin des Plantes,"Jardins, Zoos",1415
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2038978-Reviews-Paris_Canal-Paris_Ile_de_France.html,Paris Canal,"CroisiÃ¨res, Locations de bateaux",427
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7000992-Reviews-Marin_d_Eau_Douce-Paris_Ile_de_France.html,Marin d'Eau Douce,Locations de bateaux,632
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7802702-Reviews-Rent_Go-Paris_Ile_de_France.html,Rent & Go,Visites nocturnes,92
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10193001-Reviews-Paris_Safari-Paris_Ile_de_France.html,Paris Safari,"Excursions Ã  vÃ©lo, Visites guidÃ©es",116
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6656639-Reviews-My_Paris_River-Paris_Ile_de_France.html,My Paris River,CroisiÃ¨res,79
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10781846-Reviews-6clo-Paris_Ile_de_France.html,6clo,Visites de la ville,47
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2274303-Reviews-Vedettes_du_Pont_Neuf-Paris_Ile_de_France.html,Vedettes du Pont Neuf,"Visites de la ville, CroisiÃ¨res",1509
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d241573-Reviews-Canauxrama-Paris_Ile_de_France.html,Canauxrama,"Visites guidÃ©es, CroisiÃ¨res",370
