,four,one,three,two
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2038979-Reviews-Paris_Charms_Secrets_Tours-Paris_Ile_de_France.html,Paris Charms & Secrets Tours,Visites de la ville,3261
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4551153-Reviews-Wego_Walking_Tours-Paris_Ile_de_France.html,Wego Walking Tours,Visites pédestres,1910
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3205960-Reviews-Babylon_Tours-Paris_Ile_de_France.html,Babylon Tours,,819
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8453092-Reviews-Retro_Tour_Paris-Paris_Ile_de_France.html,Retro Tour Paris,Visites de la ville,834
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3405921-Reviews-Paris_by_Martin_Friends-Paris_Ile_de_France.html,Paris by Martin & Friends,"Visites nocturnes, Visites pédestres",1180
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12442407-Reviews-Boutique_Bike_Tours-Paris_Ile_de_France.html,Boutique Bike Tours,Excursions à vélo,193
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6631392-Reviews-2CVParisTour_Tours-Paris_Ile_de_France.html,2CVParisTour Tours,Visites privées,646
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2613395-Reviews-Paris_by_Mouth-Paris_Ile_de_France.html,Paris by Mouth,Visites pédestres,1749
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6825442-Reviews-Secret_Food_Tours_Paris-Paris_Ile_de_France.html,Secret Food Tours Paris,Circuits gourmands,1715
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1600380-Reviews-La_Cuisine_Paris_Cooking_Classes-Paris_Ile_de_France.html,La Cuisine Paris - Cooking Classes,"Circuits gourmands, Cours de cuisine",2222
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8027801-Reviews-White_Umbrella_Tours-Paris_Ile_de_France.html,White Umbrella Tours,Visites de la ville,1672
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12103860-Reviews-ParisTour1-Paris_Ile_de_France.html,ParisTour1,"Visites privées, Visites guidées",265
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11616540-Reviews-Withlocals-Paris_Ile_de_France.html,Withlocals,"Visites privées, Visites pédestres",417
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3657579-Reviews-Localers-Paris_Ile_de_France.html,Localers,Visites privées,707
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7289755-Reviews-Like_a_Local_in_Paris-Paris_Ile_de_France.html,Like a Local in Paris,Visites nocturnes,544
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1822724-Reviews-Paris_Muse_Private_Tours-Paris_Ile_de_France.html,Paris Muse Private Tours,"Visites privées, Visites culturelles",639
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8152125-Reviews-Napoleone_Tour-Paris_Ile_de_France.html,Napoleone Tour,Visites pédestres,500
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2023178-Reviews-Culinary_Tours_of_Paris-Paris_Ile_de_France.html,Culinary Tours of Paris,Circuits gourmands,761
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2101013-Reviews-Paris_Original_Tours-Paris_Ile_de_France.html,Paris Original Tours,Visites en Segway,430
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d5482068-Reviews-Wine_Tasting_In_Paris-Paris_Ile_de_France.html,Wine Tasting In Paris,Oenotourisme ,303
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1520118-Reviews-Sight_Seeker_s_Delight_Unique_Walking_Tours-Paris_Ile_de_France.html,Sight Seeker's Delight Unique Walking Tours,Visites de la ville,1832
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4116448-Reviews-Cedric_s_Paris_Private_Tours-Paris_Ile_de_France.html,Cédric's Paris,Visites privées,300
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6473025-Reviews-Midnight_In_Paris_On_Wheels-Paris_Ile_de_France.html,Midnight In Paris On Wheels Visites Privées,Visites de la ville,308
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d652724-Reviews-Bike_About_Tours-Paris_Ile_de_France.html,Bike About Tours,Excursions à vélo,2819
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d648464-Reviews-Cook_n_With_Class_Paris-Paris_Ile_de_France.html,Cook' n With Class Paris,"Circuits gourmands, Cours de cuisine",1897
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2626587-Reviews-Blue_Fox_Travel_Blue_Bike_Tours-Paris_Ile_de_France.html,Blue Fox Travel - Blue Bike Tours,Visites de la ville,3399
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11867246-Reviews-Memories_DMC_France-Paris_Ile_de_France.html,Memories DMC France,,120
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2076448-Reviews-Eye_Prefer_Paris_Tours-Paris_Ile_de_France.html,Eye Prefer Paris Tours,Visites de la ville,637
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12251698-Reviews-Walks_of_France-Paris_Ile_de_France.html,Walks of France,"Visites guidées, Visites de la ville",105
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1758464-Reviews-Unique_Paris_Private_Tours-Paris_Ile_de_France.html,Unique Paris Private Tours,Visites privées,451
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10215571-Reviews-April_in_Paris_Tours-Paris_Ile_de_France.html,April in Paris Tours,"Visites culturelles, Visites privées",100
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6276150-Reviews-Just_in_Paris-Paris_Ile_de_France.html,Just'in Paris,Visites privées,107
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9808446-Reviews-Paris_Mal_Anders-Paris_Ile_de_France.html,Paris Mal Anders,"Visites de la ville, Visites privées",203
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8862575-Reviews-City_Lights_Tours_Paris-Paris_Ile_de_France.html,City Lights Tours Paris,Visites pédestres,192
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7181830-Reviews-Paris_in_Tour-Paris_Ile_de_France.html,Paris in Tour,Visites pédestres,201
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2163023-Reviews-Paris_Urban_Adventures-Paris_Ile_de_France.html,Paris Urban Adventures,Visites de la ville,573
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8674170-Reviews-Franca_Entre_Amigos-Paris_Ile_de_France.html,França Entre Amigos,Visites de la ville,266
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d5789116-Reviews-The_Americans_in_Paris-Paris_Ile_de_France.html,The Americans in Paris,Visites de la ville,145
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3137427-Reviews-StrollsParis-Paris_Ile_de_France.html,StrollsParis,Excursions à vélo,116
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12982233-Reviews-City_Insiders_Paris-Paris_Ile_de_France.html,City Insiders Paris,Visites de la ville,78
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11732039-Reviews-Women_of_Paris-Paris_Ile_de_France.html,Women of Paris,Visites pédestres,100
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3735491-Reviews-Paris_Tours_Photo_Portraits-Paris_Ile_de_France.html,Paris Tours Photo & Portraits,Visites guidées,85
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3784173-Reviews-Paris_in_Person_Walking_Tour-Paris_Ile_de_France.html,Paris in Person Walking Tour,"Visites culturelles, Visites privées",284
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6352996-Reviews-Corazon_Tours_Paris-Paris_Ile_de_France.html,Corazón Tours Paris,Visites guidées,106
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7757169-Reviews-Keys_for_Paris-Paris_Ile_de_France.html,Keys for Paris,Visites de la ville,119
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4255978-Reviews-David_Kafari-Paris_Ile_de_France.html,David Kafari,Visites privées,119
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7702088-Reviews-Mon_Beau_Paris-Paris_Ile_de_France.html,Mon Beau Paris,Visites culturelles,172
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7201350-Reviews-The_Green_Way-Paris_Ile_de_France.html,The Green Way,"Visites en Segway, Visites guidées",77
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1514032-Reviews-Left_Bank_Scooters-Paris_Ile_de_France.html,Left Bank Scooters,"Visites privées, Visites guidées",696
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4064976-Reviews-Aperture_Tours-Paris_Ile_de_France.html,Aperture Tours,Circuits photographiques,151
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1815347-Reviews-Paris_Running_Tours-Paris_Ile_de_France.html,Paris Running Tours,Visites et footing,170
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1907763-Reviews-Paris_Wine_Day_Tours-Paris_Ile_de_France.html,Paris Wine Day Tours,"Visites culturelles, Visites guidées",465
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8468508-Reviews-My_Private_Paris-Paris_Ile_de_France.html,My Private Paris,Visites pédestres,194
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7675416-Reviews-Parisitour-Paris_Ile_de_France.html,Parisitour,Visites de la ville,117
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1488039-Reviews-Best_of_France_Tours-Paris_Ile_de_France.html,Best of France Tours,,352
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3501459-Reviews-Decadent_Gourmet_Food_Tours-Paris_Ile_de_France.html,Decadent Gourmet Food Tours,Circuits gourmands,108
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2146080-Reviews-Paris_by_Scooter-Paris_Ile_de_France.html,Paris by Scooter,Locations de matériel,259
