,four,one,three,two
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d3666966-Reviews-Green_River_Cruises-Paris_Ile_de_France.html,Green River Cruises,Croisi√®res,238
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7258655-Reviews-Un_Bateau_a_Paris-Paris_Ile_de_France.html,Un Bateau √† Paris,Croisi√®res,68
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2038978-Reviews-Paris_Canal-Paris_Ile_de_France.html,Paris Canal,"Croisi√®res, Locations de bateaux",427
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7000992-Reviews-Marin_d_Eau_Douce-Paris_Ile_de_France.html,Marin d'Eau Douce,Locations de bateaux,632
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6656639-Reviews-My_Paris_River-Paris_Ile_de_France.html,My Paris River,Croisi√®res,79
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2274303-Reviews-Vedettes_du_Pont_Neuf-Paris_Ile_de_France.html,Vedettes du Pont Neuf,"Visites de la ville, Croisi√®res",1509
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d241573-Reviews-Canauxrama-Paris_Ile_de_France.html,Canauxrama,"Visites guid√©es, Croisi√®res",370
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7154430-Reviews-La_Marina_de_Paris_Seine_River_Cruise-Paris_Ile_de_France.html,La Marina de Paris Seine River Cruise,Croisi√®res,533
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d654725-Reviews-Bateaux_Parisiens-Paris_Ile_de_France.html,Bateaux Parisiens,"Croisi√®res, Visites guid√©es",3861
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10432669-Reviews-Don_Juan_II-Paris_Ile_de_France.html,Don Juan II,Croisi√®res,168
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d188678-Reviews-Bateaux_Mouches-Paris_Ile_de_France.html,Bateaux Mouches,"Croisi√®res, Visites guid√©es",3124
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7650635-Reviews-Plongequilibre-Paris_Ile_de_France.html,Plong√©quilibre,Plong√©e sous-marine et avec tuba,93
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d844427-Reviews-Vedettes_de_Paris-Paris_Ile_de_France.html,Vedettes de Paris,"Visites culturelles, Croisi√®res",616
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d775828-Reviews-Paris_Musts_City_Tour_River_Seine_Cruise_and_Lunch-Paris_Ile_de_France.html,"Paris 'Musts' - City Tour, River Seine Cruise and Lunch",Croisi√®res,160
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d3587680-Reviews-Marina_de_Paris-Paris_Ile_de_France.html,Marina de Paris,Croisi√®res,250
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d1942367-Reviews-Paris_en_Scene-Paris_Ile_de_France.html,Paris en Sc√®ne,Croisi√®res,1201
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d5043675-Reviews-Le_Capitaine_Fracasse-Paris_Ile_de_France.html,Le Capitaine Fracasse,Croisi√®res,99
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7274643-Reviews-Bateau_mon_Paris-Paris_Ile_de_France.html,Bateau mon Paris,"Visites guid√©es, Croisi√®res",18
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6652265-Reviews-Champagne_Tasting_on_a_Seine_River_Cruise-Paris_Ile_de_France.html,Champagne Tasting on a Seine River Cruise,Croisi√®res,23
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6756084-Reviews-The_Champagne_Cruise-Paris_Ile_de_France.html,The Champagne Cruise,Croisi√®res,10
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10784882-Reviews-Bateau_Ivre_Maxim_s-Paris_Ile_de_France.html,Bateau Ivre Maxim's,Croisi√®res,7
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10729160-Reviews-Paris_Bulles_Plongee-Paris_Ile_de_France.html,Paris Bulles Plongee,Plong√©e sous-marine et avec tuba,5
Excursions en bateau et sports nautiques ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8522700-Reviews-Paris_Peniche_Prive-Paris_Ile_de_France.html,Paris Peniche Priv√©,"Visites priv√©es, Croisi√®res",4
