,four,one,three,two
Vie nocturne ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7289755-Reviews-Like_a_Local_in_Paris-Paris_Ile_de_France.html,Like a Local in Paris,Visites nocturnes,544
Vie nocturne ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d1557378-Reviews-SANDEMANs_NEW_Europe_Paris-Paris_Ile_de_France.html,SANDEMANs NEW Europe - Paris,Visites de la ville,9683
Vie nocturne ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6939381-Reviews-Paris_by_Tuktuk-Paris_Ile_de_France.html,Paris by Tuktuk,Visites de la ville,216
Vie nocturne ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d5018956-Reviews-Paris_Bar_Crawl-Paris_Ile_de_France.html,Paris Bar Crawl,,215
Vie nocturne ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12514913-Reviews-BAM_Karaoke_Box_Parmentier-Paris_Ile_de_France.html,BAM Karaoke Box Parmentier,"Bars et clubs, Karaok√©s",143
Vie nocturne ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6485236-Reviews-BAM_Karaoke_Box_Richer-Paris_Ile_de_France.html,BAM Karaoke Box Richer,"Bars et clubs, Karaok√©s",550
Vie nocturne ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4232279-Reviews-Le_Calbar-Paris_Ile_de_France.html,Le Calbar,Bars et clubs,129
Vie nocturne ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2485777-Reviews-Le_Bar_du_Bristol-Paris_Ile_de_France.html,Le Bar du Bristol,Bars et clubs,223
Vie nocturne ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d244977-Reviews-Chez_Michou-Paris_Ile_de_France.html,Chez Michou,"Bars et clubs, Spectacles",421
Vie nocturne ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10237573-Reviews-BAM_Karaoke_Box_Sentier-Paris_Ile_de_France.html,BAM Karaoke Box Sentier,"Karaok√©s, Bars et clubs",215
