TOUR CRIETERIA,NAME OF THE TOUR,OTHER,REVIEWS,LINKS
ActivitÈs en plein air ‡ Paris,Paris Charms & Secrets Tours,Visites de la ville,3261,https://www.tripadvisor.fr/Attraction_Review-g187147-d2038979-Reviews-Paris_Charms_Secrets_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris by Martin & Friends,"Visites nocturnes, Visites p√©destres",1180,https://www.tripadvisor.fr/Attraction_Review-g187147-d3405921-Reviews-Paris_by_Martin_Friends-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Boutique Bike Tours,Excursions √† v√©lo,193,https://www.tripadvisor.fr/Attraction_Review-g187147-d12442407-Reviews-Boutique_Bike_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Like a Local in Paris,Visites nocturnes,544,https://www.tripadvisor.fr/Attraction_Review-g187147-d7289755-Reviews-Like_a_Local_in_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Bike About Tours,Excursions √† v√©lo,2819,https://www.tripadvisor.fr/Attraction_Review-g187147-d652724-Reviews-Bike_About_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Blue Fox Travel - Blue Bike Tours,Visites de la ville,3399,https://www.tripadvisor.fr/Attraction_Review-g187147-d2626587-Reviews-Blue_Fox_Travel_Blue_Bike_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,StrollsParis,Excursions √† v√©lo,116,https://www.tripadvisor.fr/Attraction_Review-g187147-d3137427-Reviews-StrollsParis-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,City Insiders Paris,Visites de la ville,78,https://www.tripadvisor.fr/Attraction_Review-g187147-d12982233-Reviews-City_Insiders_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris Running Tours,Visites et footing,170,https://www.tripadvisor.fr/Attraction_Review-g187147-d1815347-Reviews-Paris_Running_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris by Scooter,Locations de mat√©riel,259,https://www.tripadvisor.fr/Attraction_Review-g187147-d2146080-Reviews-Paris_by_Scooter-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,TukTuk Ride Paris,"Visites de la ville, Visites priv√©es",119,https://www.tripadvisor.fr/Attraction_Review-g187147-d10216117-Reviews-TukTuk_Ride_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Green River Cruises,Croisi√®res,238,https://www.tripadvisor.fr/Attraction_Review-g187147-d3666966-Reviews-Green_River_Cruises-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Insolites Collection,Locations de mat√©riel,103,https://www.tripadvisor.fr/Attraction_Review-g187147-d12255373-Reviews-Insolites_Collection-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Fat Tire Tours--Paris,Excursions √† v√©lo,5875,https://www.tripadvisor.fr/Attraction_Review-g187147-d577423-Reviews-Fat_Tire_Tours_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Driveme,Locations de mat√©riel,136,https://www.tripadvisor.fr/Attraction_Review-g187147-d4096567-Reviews-Driveme-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris Bike Tour,"Excursions √† v√©lo, Visites guid√©es",199,https://www.tripadvisor.fr/Attraction_Review-g187147-d1412437-Reviews-Paris_Bike_Tour-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,RunRun Tours,"Visites guid√©es, Visites et footing",63,https://www.tripadvisor.fr/Attraction_Review-g187147-d10127325-Reviews-RunRun_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris by Bike,Excursions √† v√©lo,276,https://www.tripadvisor.fr/Attraction_Review-g187147-d4508262-Reviews-Paris_by_Bike-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Un Bateau √† Paris,Croisi√®res,68,https://www.tripadvisor.fr/Attraction_Review-g187147-d7258655-Reviews-Un_Bateau_a_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Jardin des Plantes,"Jardins, Zoos",1415,https://www.tripadvisor.fr/Attraction_Review-g187147-d189291-Reviews-Jardin_des_Plantes-Paris_Ile_de_France.html
